CountryName,Region,ThirdWorld
Afghanistan,South Asia,1
Albania,Eastern Europe,0
Algeria,Africa,0
American Samoa,Australia and Oceanea,0
Andorra,Western Europe,0
Angola,Africa,1
Antigua and Barbuda,North America,0
Argentina,South America,0
Armenia,Western Asia,0
Aruba,North America,0
Australia,Australia and Oceanea,0
Austria,Western Europe,0
Azerbaijan,Western Asia,0
"Bahamas, The",North America,0
Bahrain,Middle East,0
Bangladesh,South Asia,1
Barbados,North America,0
Belarus,Eastern Europe,0
Belgium,Western Europe,0
Belize,North America,0
Benin,Africa,1
Bermuda,North America,0
Bhutan,South Asia,1
Bolivia,South America,0
Bosnia and Herzegovina,Eastern Europe,0
Botswana,Africa,0
Brazil,South America,0
British Virgin Islands,North America,0
Brunei Darussalam,Southeast Asia,0
Bulgaria,Eastern Europe,0
Burkina Faso,Africa,1
Burundi,Africa,1
Cabo Verde,Africa,0
Cambodia,Southeast Asia,1
Cameroon,Africa,0
Canada,North America,0
Cayman Islands,North America,0
Central African Republic,Africa,1
Chad,Africa,1
Channel Islands,North America,0
Chile,South America,0
China,East Asia,0
Colombia,South America,0
Comoros,Africa,1
"Congo, Dem. Rep.",Africa,1
"Congo, Rep.",Africa,0
Costa Rica,North America,0
Cote d'Ivoire,Africa,0
Croatia,Eastern Europe,0
Cuba,North America,0
Curacao,North America,0
Cyprus,Middle East,0
Czech Republic,Western Europe,0
Denmark,Northern Europe,0
Djibouti,Africa,1
Dominica,North America,0
Dominican Republic,North America,0
Ecuador,South America,0
"Egypt, Arab Rep.",Africa,0
El Salvador,North America,0
Equatorial Guinea,Africa,0
Eritrea,Africa,1
Estonia,Northern Europe,0
Eswatini,Africa,0
Ethiopia,Africa,1
Faroe Islands,Northern Europe,0
Fiji,Australia and Oceanea,0
Finland,Northern Europe,0
France,Western Europe,0
French Polynesia,Australia and Oceanea,0
Gabon,Africa,0
"Gambia, The",Africa,1
Georgia,Western Asia,0
Germany,Western Europe,0
Ghana,Africa,0
Gibraltar,Western Europe,0
Greece,Eastern Europe,0
Greenland,Northern Europe,0
Grenada,North America,0
Guam,Australia and Oceanea,0
Guatemala,North America,0
Guinea,Africa,1
Guinea-Bissau,Africa,1
Guyana,South America,0
Haiti,North America,1
Honduras,North America,0
"Hong Kong SAR, China",East Asia,0
Hungary,Eastern Europe,0
Iceland,Northern Europe,0
India,South Asia,0
Indonesia,Southeast Asia,0
"Iran, Islamic Rep.",Middle East,0
Iraq,Middle East,0
Ireland,Northern Europe,0
Isle of Man,Northern Europe,0
Israel,Middle East,0
Italy,Western Europe,0
Jamaica,North America,0
Japan,East Asia,0
Jordan,Middle East,0
Kazakhstan,Western Asia,0
Kenya,Africa,0
Kiribati,Australia and Oceanea,1
"Korea, Dem. People’s Rep.",East Asia,0
"Korea, Rep.",East Asia,0
Kosovo,Eastern Europe,0
Kuwait,Middle East,0
Kyrgyz Republic,Western Asia,0
Lao PDR,Southeast Asia,1
Latvia,Northern Europe,0
Lebanon,Middle East,0
Lesotho,Africa,1
Liberia,Africa,1
Libya,Africa,0
Liechtenstein,Western Europe,0
Lithuania,Northern Europe,0
