Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Afghanistan,AFG,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,49.45923836,49.54030813,49.60984557,49.62835572,49.66188555,49.81294163,49.55905918,49.30437504,49.10366498,48.95342009,48.81468211,48.90546984,49.09874752,49.34294013,49.61243489,49.91287028,49.75843687,49.60312962,49.48568076,49.4439988,49.49372303,49.94394771,50.5239467,51.1931218,51.90783594,52.64429883,53.2079642,53.76322252,54.32489755,54.9119344,55.52832889
Albania,ALB,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,61.73033892,61.45698917,61.23249553,61.07131356,60.94690672,60.8253109,61.21760738,61.5670544,61.88800398,62.22271966,62.60814516,63.01736522,63.47476974,63.97268397,64.48562462,64.9983964,65.52240419,65.96118389,66.33378604,66.6470908,66.89951198,67.51370625,68.01189803,68.37295397,68.59902531,68.70472473,68.66009247,68.64261422,68.58239036,68.39780528,68.05956084
Algeria,DZA,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,53.2918002,53.82829986,54.41980758,55.07428032,55.80778382,56.6291632,57.44948517,58.3667527,59.35080318,60.35048159,61.32987203,62.40208341,63.39027438,64.30234951,65.1422789,65.8877914,66.44938519,66.86369515,67.13221663,67.26307818,67.26101388,67.01824764,66.76538119,66.44641223,66.00259811,65.42884525,64.85756642,64.18320494,63.48882487,62.89684351,62.47355707
American Samoa,ASM,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,49.97046011,49.8515826,49.78459973,49.76437182,49.79523831,49.87844568,49.84312242,49.87281101,49.95624561,50.08047271,50.23328696,50.24130825,50.29598302,50.38343173,50.48632474,50.58962307,50.54945928,50.53908894,50.54569505,50.56459942,50.59763029,50.50803527,50.46797763,50.47179249,50.51979678,50.61516696,50.68562911,50.80778714,50.97470164,51.17863322,51.41317518
Antigua and Barbuda,ATG,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,61.25255885,61.64565152,62.0387461,62.3850282,62.65252068,62.88481142,63.32635059,63.73981926,64.0964711,64.41331655,64.72847822,65.1453142,65.51759372,65.86002522,66.184525,66.51199902,66.83473593,67.18515698,67.55506634,67.93166256,68.30213114,68.48733376,68.72103441,68.95624809,69.14608587,69.26875147,69.23207126,69.19288244,69.11908273,68.99030046,68.8172043
Argentina,ARG,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,60.29159514,60.28886605,60.40590258,60.59944873,60.80208537,60.98319263,61.13575541,61.29153899,61.44964076,61.6205766,61.80916887,62.02043897,62.21343388,62.40214863,62.6052674,62.82861017,62.99229028,63.19978722,63.42378873,63.62133458,63.76901689,63.88072264,63.94712888,63.98269221,64.01546985,64.06001976,64.06056661,64.08352251,64.12127729,64.16136585,64.19817702
Armenia,ARM,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,64.3240533,63.89794988,63.44406339,63.00603489,62.63640619,62.36123665,62.50125859,62.81356833,63.25149492,63.72758109,64.17314229,64.76078995,65.20660334,65.59084168,66.04471593,66.63853547,67.1672007,67.8599463,68.59883245,69.19886901,69.54546924,69.69530735,69.67964458,69.52199554,69.29291181,69.04257075,68.7610583,68.44896633,68.11276042,67.75038027,67.36477569
Aruba,ABW,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,67.79674653,68.52310359,69.02176302,69.29824561,69.47196871,69.66784523,69.45072115,69.32628056,69.2794207,69.26127746,69.24042134,69.32334388,69.42163551,69.55482029,69.73474989,69.93532005,69.85738937,69.69038351,69.44592435,69.15972599,68.83809224,68.88560061,68.98693448,69.10885138,69.18110509,69.1597742,69.13761538,68.94633943,68.64660589,68.32119947,68.01228856
Australia,AUS,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,66.8518331,66.86032658,66.7811313,66.66259923,66.58220463,66.57259343,66.55571851,66.59819699,66.67638671,66.74819485,66.793903,66.92790583,67.04806589,67.15320284,67.24543778,67.31412183,67.48309718,67.61745743,67.68373866,67.67151777,67.59110796,67.33382876,67.08384074,66.82679484,66.55144441,66.25804941,65.90657302,65.5309417,65.15290773,64.80335154,64.49451692
Austria,AUT,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,68.1482102,67.96720985,67.70163913,67.40492944,67.17914428,67.09276368,67.06032518,67.1880283,67.41787453,67.63894632,67.78294608,67.8768838,67.90045796,67.8734889,67.84319453,67.83092329,67.74827548,67.6808155,67.6229858,67.56033295,67.48495145,67.42486929,67.35891667,67.27283607,67.16624799,67.03954297,66.9201963,66.81250731,66.70048591,66.56253608,66.38381959
Azerbaijan,AZE,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,62.15622744,61.78547334,61.47740221,61.24127741,61.09775384,61.07376267,61.21171864,61.48418026,61.88778215,62.40174291,63.00237814,63.7613882,64.51452998,65.30841065,66.19693155,67.18462793,68.03759751,68.96813855,69.88769845,70.67573709,71.26638023,71.57633025,71.70604268,71.67595692,71.55420234,71.3895879,71.02714111,70.72264792,70.43524739,70.11169103,69.74308664
"Bahamas, The",BHS,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,63.2933031,63.69345001,63.77387428,63.69595933,63.72432444,63.98116952,64.01446591,64.30236847,64.73673162,65.11143908,65.30862168,65.59061259,65.76253007,65.8760447,65.99152069,66.1099123,66.31242202,66.42095623,66.53379151,66.72034645,67.00249618,67.36897141,67.84044402,68.37287462,68.88431413,69.31770201,69.77191543,70.06535605,70.25752197,70.44099599,70.65053758
