Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Afghanistan,AFG,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,2.232542086,2.242331144,2.25936254,2.283410667,2.317880814,2.368318278,2.369382304,2.358940062,2.34152651,2.319288177,2.291944549,2.271866861,2.25584792,2.243148067,2.233425234,2.227488227,2.251821196,2.270637747,2.287167908,2.305590109,2.328131562,2.354461852,2.386293853,2.420207459,2.451574871,2.478662289,2.519922544,2.55425147,2.58492694,2.615794214,2.649069652
Albania,ALB,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,5.494978353,5.648770956,5.827499795,6.025915757,6.230599593,6.432480462,6.563784813,6.682599124,6.797480424,6.920844385,7.058160712,7.314589495,7.592252159,7.887145156,8.191170579,8.500717569,8.905554353,9.321660726,9.750595968,10.1923346,10.64540541,11.01498604,11.38751091,11.77078921,12.1806923,12.62654761,12.95621108,13.3290733,13.74473591,14.20263062,14.70458132
Algeria,DZA,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,3.359231339,3.392339965,3.434141648,3.485475121,3.548047135,3.623349295,3.735522009,3.864263227,4.006053903,4.15476319,4.307408922,4.437474775,4.562822246,4.684889179,4.803830202,4.919461773,5.033435092,5.140660402,5.244230104,5.347937862,5.456205838,5.508604475,5.566025156,5.636734408,5.733120075,5.863636564,6.007981181,6.177204873,6.362496545,6.552777882,6.742927261
American Samoa,ASM,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,2.466968919,2.481741015,2.499651191,2.517176035,2.530393971,2.537904424,2.556636235,2.566985194,2.570919648,2.570589068,2.566879284,2.574733622,2.576906526,2.571324338,2.554735556,2.526356154,2.503709572,2.470528735,2.432051536,2.394426897,2.360756091,2.347429742,2.336002915,2.322782468,2.303043908,2.275861888,2.261018458,2.239196565,2.216373648,2.19934175,2.191462421
Antigua and Barbuda,ATG,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,7.961233367,7.862136443,7.74301624,7.599920945,7.450449378,7.288481142,7.186524732,7.056789022,6.911668305,6.750676273,6.578878131,6.610371445,6.665815186,6.742749054,6.848735312,6.980912048,7.010543625,7.053769071,7.125543052,7.224540613,7.357886127,7.475378979,7.618710527,7.784431138,7.961150364,8.156809097,8.360574227,8.575231069,8.79982552,9.054964064,9.332271339
Argentina,ARG,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,8.922392284,9.032020315,9.141749524,9.247199693,9.340259966,9.418177872,9.507355281,9.582813724,9.644607302,9.692795869,9.728636929,9.781623672,9.815213195,9.838287614,9.861495275,9.891378462,9.942008474,9.995324347,10.05387953,10.11969581,10.19502466,10.29700754,10.40101452,10.50734157,10.61640066,10.72881571,10.85997758,10.98970711,11.11778888,11.24310827,11.36651183
Armenia,ARM,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,5.632118968,6.075273204,6.622135304,7.231763,7.833528796,8.381468215,8.78180531,9.087038383,9.346357481,9.641044965,10.01576432,10.43033913,10.91629537,11.39604868,11.74711403,11.89999963,11.90495104,11.73190644,11.45380858,11.18291938,10.99384531,10.86486603,10.81125873,10.8129244,10.83934296,10.87739651,10.97872277,11.09664489,11.25381766,11.48366772,11.80287948
Aruba,ABW,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,7.655794944,7.392219368,7.173737818,7.016164625,6.929595828,6.912006374,6.986778846,7.090613334,7.229854372,7.390596034,7.580377093,7.757971108,7.955406771,8.167640723,8.38287572,8.591336686,8.91861872,9.229218944,9.548333629,9.891084717,10.28828847,10.58346236,10.92043682,11.29809323,11.70717135,12.1371273,12.60488977,13.07347721,13.55094714,14.05835544,14.60577337
Australia,AUS,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,11.05874988,11.2564488,11.43516962,11.59380351,11.73354832,11.85705678,11.96580271,12.05933101,12.1434629,12.22798199,12.32367377,12.41530462,12.51592156,12.62689074,12.74558218,12.87112447,12.92659959,12.98192935,13.05873886,13.18565421,13.37655581,13.63030821,13.93028835,14.25265706,14.56531719,14.85461069,15.1411186,15.40402089,15.65647523,15.92120175,16.21305807
Austria,AUT,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,14.92147346,15.08034337,15.17326224,15.21099745,15.21311444,15.18985758,15.24527171,15.27790296,15.30337456,15.3368733,15.38990611,15.5200557,15.65033834,15.79435391,15.97298463,16.19731876,16.48997513,16.8229161,17.17351201,17.50523101,17.7983838,18.05310013,18.27449444,18.47297903,18.65961774,18.84047768,18.90914695,18.95657332,19.00156646,19.07560629,19.20400364
Azerbaijan,AZE,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,4.641227289,4.75132469,4.895752447,5.051561947,5.193885556,5.313279379,5.446363865,5.550383892,5.640692849,5.738226593,5.849897221,6.062131693,6.2783517,6.464693313,6.574394013,6.585888444,6.534582381,6.411169428,6.243708111,6.065805297,5.898281764,5.818642015,5.746483531,5.696668509,5.689117451,5.736523206,5.835522707,5.989688502,6.195182751,6.44638912,6.741622126
"Bahamas, The",BHS,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,4.26932789,4.343161895,4.41042142,4.477457769,4.549640017,4.637666676,4.767270704,4.90746734,5.059240116,5.219307493,5.384313423,5.496368359,5.596112592,5.674977405,5.732312304,5.78096959,5.850172037,5.916019787,5.982000751,6.048271759,6.11367491,6.21339459,6.317659743,6.432460257,6.556350892,6.692035937,6.875082687,7.060549305,7.257602357,7.483272654,7.748115674
