Country Name,Country Code,ThirdWorld,Region,2018
Afghanistan,AFG,1.0,South Asia,37171922.0
Albania,ALB,0.0,Eastern Europe,2866376.0
Algeria,DZA,0.0,Africa,42228415.0
American Samoa,ASM,0.0,Australia and Oceanea,55461.0
Andorra,AND,0.0,Western Europe,77008.0
Angola,AGO,1.0,Africa,30809787.0
Antigua and Barbuda,ATG,0.0,North America,96282.0
Argentina,ARG,0.0,South America,44494502.0
Armenia,ARM,0.0,Western Asia,2951741.0
Aruba,ABW,0.0,North America,105846.0
Australia,AUS,0.0,Australia and Oceanea,24982688.0
Austria,AUT,0.0,Western Europe,8840521.0
Azerbaijan,AZE,0.0,Western Asia,9939771.0
"Bahamas, The",BHS,0.0,North America,385635.0
Bahrain,BHR,0.0,Middle East,1569440.0
Bangladesh,BGD,1.0,South Asia,161376713.0
Barbados,BRB,0.0,North America,286640.0
Belarus,BLR,0.0,Eastern Europe,9483499.0
Belgium,BEL,0.0,Western Europe,11427054.0
Belize,BLZ,0.0,North America,383071.0
Benin,BEN,1.0,Africa,11485035.0
Bermuda,BMU,0.0,North America,63919.0
Bhutan,BTN,1.0,South Asia,754396.0
Bolivia,BOL,0.0,South America,11353140.0
Bosnia and Herzegovina,BIH,0.0,Eastern Europe,3323929.0
Botswana,BWA,0.0,Africa,2254067.0
Brazil,BRA,0.0,South America,209469320.0
British Virgin Islands,VGB,0.0,North America,29795.0
Brunei Darussalam,BRN,0.0,Southeast Asia,428960.0
Bulgaria,BGR,0.0,Eastern Europe,7025037.0
Burkina Faso,BFA,1.0,Africa,19751466.0
Burundi,BDI,1.0,Africa,11175379.0
Cabo Verde,CPV,0.0,Africa,543764.0
Cambodia,KHM,1.0,Southeast Asia,16249795.0
Cameroon,CMR,0.0,Africa,25216261.0
Canada,CAN,0.0,North America,37065178.0
Cayman Islands,CYM,0.0,North America,64172.0
Central African Republic,CAF,1.0,Africa,4666375.0
Chad,TCD,1.0,Africa,15477727.0
Channel Islands,CHI,0.0,North America,170496.0
Chile,CHL,0.0,South America,18729166.0
China,CHN,0.0,East Asia,1392730000.0
Colombia,COL,0.0,South America,49661056.0
Comoros,COM,1.0,Africa,832322.0
"Congo, Dem. Rep.",COD,1.0,Africa,84068092.0
"Congo, Rep.",COG,0.0,Africa,5244363.0
Costa Rica,CRI,0.0,North America,4999443.0
Cote d'Ivoire,CIV,0.0,Africa,25069226.0
Croatia,HRV,0.0,Eastern Europe,4087843.0
